<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
GAZP,60,20220701,110000,200.8400000,201.8500000,186.2000000,195.8700000,56774340
GAZP,60,20220701,120000,195.8400000,195.9200000,191.3400000,194.4000000,17570520
GAZP,60,20220701,130000,194.4000000,196.3000000,193.2000000,194.2000000,8538260
GAZP,60,20220701,140000,194.2000000,197.6900000,193.9500000,197.5000000,7412220
GAZP,60,20220701,150000,197.5000000,197.5000000,195.1000000,195.1300000,4870770
GAZP,60,20220701,160000,195.1900000,196.7000000,195.0000000,196.3000000,3722930
GAZP,60,20220701,170000,196.2900000,196.3800000,194.1400000,194.8500000,4771830
GAZP,60,20220701,180000,194.8500000,195.4900000,194.1000000,194.7400000,3023340
GAZP,60,20220701,190000,194.7400000,194.8000000,191.6400000,192.5000000,6936830
GAZP,60,20220704,110000,191.9800000,195.4400000,188.0000000,190.4200000,17156540
GAZP,60,20220704,120000,190.5000000,190.8000000,181.3000000,181.6800000,26546700
GAZP,60,20220704,130000,181.6800000,185.2000000,181.2000000,184.2300000,10525180
GAZP,60,20220704,140000,184.2300000,190.0000000,184.0800000,188.0000000,10978050
GAZP,60,20220704,150000,187.9700000,189.3000000,185.9000000,188.6000000,4649830
GAZP,60,20220704,160000,188.6000000,188.6900000,186.9000000,187.6100000,3189700
GAZP,60,20220704,170000,188.0500000,188.3700000,186.7200000,187.8000000,2061630
GAZP,60,20220704,180000,187.8000000,187.8000000,184.4600000,185.4400000,4540700
GAZP,60,20220704,190000,185.4400000,186.4300000,184.2300000,186.2500000,3180750
GAZP,60,20220705,110000,186.3000000,189.0000000,185.2000000,187.7900000,8604800
GAZP,60,20220705,120000,187.7900000,188.0000000,185.7500000,186.5800000,5729340
GAZP,60,20220705,130000,186.5800000,187.7800000,186.0200000,187.2800000,3313380
GAZP,60,20220705,140000,187.1500000,194.2500000,186.5100000,191.9900000,13491820
GAZP,60,20220705,150000,191.9100000,193.5800000,190.4500000,192.7700000,6956930
GAZP,60,20220705,160000,192.7600000,198.8400000,192.1100000,197.0500000,14963500
GAZP,60,20220705,170000,197.0500000,199.8700000,196.2000000,197.7800000,12455720
GAZP,60,20220705,180000,197.9200000,199.4000000,196.3400000,197.0000000,7688790
GAZP,60,20220705,190000,197.0300000,197.4900000,196.1200000,197.3000000,2747180
GAZP,60,20220706,110000,197.7800000,204.2600000,194.4400000,201.9500000,24721790
GAZP,60,20220706,120000,201.9500000,205.7800000,201.3000000,204.3400000,14480460
GAZP,60,20220706,130000,204.3400000,204.4600000,200.1700000,201.5000000,10528690
GAZP,60,20220706,140000,201.4300000,203.4000000,200.7500000,203.0600000,4765030
GAZP,60,20220706,150000,203.1000000,203.9500000,201.4200000,201.8000000,3535050
GAZP,60,20220706,160000,201.8000000,202.7000000,200.3000000,201.7700000,3100070
GAZP,60,20220706,170000,201.7600000,201.7800000,195.5000000,196.6900000,12522070
GAZP,60,20220706,180000,196.6400000,197.6400000,194.7100000,196.3500000,5944180
GAZP,60,20220706,190000,196.3500000,197.4700000,195.2000000,195.4200000,2690550
GAZP,60,20220707,110000,195.4500000,197.8000000,192.3600000,192.8000000,11954890
GAZP,60,20220707,120000,192.7500000,194.9800000,192.6400000,193.5400000,4327590
GAZP,60,20220707,130000,193.4400000,194.3100000,192.8500000,194.0200000,2093370
GAZP,60,20220707,140000,194.0200000,198.7800000,193.5000000,197.2200000,9288290
GAZP,60,20220707,150000,197.2200000,199.3000000,196.3200000,197.2800000,4763710
GAZP,60,20220707,160000,197.2800000,199.4700000,197.0200000,199.3600000,3810420
GAZP,60,20220707,170000,199.3600000,199.4100000,196.8000000,197.2000000,3701350
GAZP,60,20220707,180000,197.2000000,198.4000000,196.6300000,197.2800000,2091880
GAZP,60,20220707,190000,197.2500000,198.2000000,197.1500000,197.9200000,1609440
GAZP,60,20220708,110000,200.0100000,201.8700000,198.2000000,198.4000000,11613190
GAZP,60,20220708,120000,198.4200000,198.7500000,196.5700000,197.1300000,4631460
GAZP,60,20220708,130000,197.1200000,198.3700000,196.9500000,198.0400000,2451600
GAZP,60,20220708,140000,198.0600000,198.8400000,197.6100000,198.2700000,1995040
GAZP,60,20220708,150000,198.2600000,198.7500000,197.8900000,198.3500000,1397250
GAZP,60,20220708,160000,198.3100000,198.7000000,197.5100000,197.7300000,1900300
GAZP,60,20220708,170000,197.7100000,198.2000000,197.5100000,197.8700000,1194970
GAZP,60,20220708,180000,197.8700000,198.2000000,197.0200000,197.6500000,1800680
GAZP,60,20220708,190000,197.6500000,198.1200000,197.5600000,198.0000000,1723540
GAZP,60,20220711,110000,198.0100000,199.4300000,193.2400000,194.8700000,12008710
GAZP,60,20220711,120000,194.8600000,195.8000000,194.6100000,195.0900000,2973560
GAZP,60,20220711,130000,195.0900000,195.2000000,192.0000000,192.3600000,6623860
GAZP,60,20220711,140000,192.3500000,193.5000000,190.5300000,191.0200000,6995800
GAZP,60,20220711,150000,191.0200000,191.8000000,190.1300000,190.9100000,4546280
GAZP,60,20220711,160000,190.9800000,191.7000000,190.2500000,191.1700000,2689510
GAZP,60,20220711,170000,191.1800000,192.4000000,189.6100000,190.3100000,4448470
GAZP,60,20220711,180000,190.3100000,190.8900000,189.4600000,190.2500000,2971420
GAZP,60,20220711,190000,190.2500000,190.3500000,188.7900000,188.9000000,3222520
GAZP,60,20220712,110000,189.1800000,189.8000000,185.2000000,185.3300000,14239100
GAZP,60,20220712,120000,185.3300000,187.7900000,184.0000000,186.6400000,7941310
GAZP,60,20220712,130000,186.6700000,187.1900000,185.1400000,186.0700000,3858470
GAZP,60,20220712,140000,186.2300000,188.0700000,186.0800000,187.1200000,2496930
GAZP,60,20220712,150000,187.1200000,188.4000000,186.1100000,187.3900000,2965170
GAZP,60,20220712,160000,187.4400000,188.5000000,187.3500000,188.1400000,2056900
GAZP,60,20220712,170000,188.1500000,189.8900000,187.6800000,189.8000000,3192980
GAZP,60,20220712,180000,189.8000000,193.0000000,189.2600000,192.8000000,6796640
GAZP,60,20220712,190000,192.8800000,192.9700000,191.0000000,191.4000000,2875010
GAZP,60,20220713,110000,191.2000000,194.0000000,188.7100000,190.6200000,8736840
GAZP,60,20220713,120000,190.6200000,190.6200000,187.6000000,189.0000000,5509840
GAZP,60,20220713,130000,189.0000000,189.5000000,186.3000000,186.6900000,3891820
GAZP,60,20220713,140000,186.6900000,187.6700000,186.1200000,186.9600000,2294000
GAZP,60,20220713,150000,186.9300000,188.2100000,185.6000000,187.5600000,3951130
GAZP,60,20220713,160000,187.5500000,188.3800000,185.3000000,186.1400000,2818930
GAZP,60,20220713,170000,186.1800000,186.9000000,185.6000000,186.5300000,1703970
GAZP,60,20220713,180000,186.4700000,187.3500000,185.7000000,187.1500000,2072470
GAZP,60,20220713,190000,187.1500000,187.4900000,186.0000000,186.0000000,2189820
GAZP,60,20220714,110000,186.3000000,187.8000000,183.1100000,185.7800000,9892780
GAZP,60,20220714,120000,185.8000000,188.1000000,185.5000000,186.7600000,3427880
GAZP,60,20220714,130000,186.7400000,187.7300000,185.2900000,185.6900000,2318260
GAZP,60,20220714,140000,185.6900000,185.9000000,185.0000000,185.2600000,2473520
GAZP,60,20220714,150000,185.2900000,186.0000000,184.5300000,185.3500000,2815360
GAZP,60,20220714,160000,185.3400000,186.0000000,184.4500000,185.2000000,2938590
GAZP,60,20220714,170000,185.1600000,185.9000000,184.9100000,185.8000000,1887550
GAZP,60,20220714,180000,185.8000000,186.5000000,185.0000000,185.5100000,1644820
GAZP,60,20220714,190000,185.4900000,185.9300000,184.5300000,184.5500000,1673370
GAZP,60,20220715,110000,184.7000000,186.3000000,183.2200000,185.1200000,4815950
GAZP,60,20220715,120000,185.1200000,185.2000000,184.0200000,184.9900000,2350130
GAZP,60,20220715,130000,184.9900000,185.5000000,184.7000000,185.2900000,1626660
GAZP,60,20220715,140000,185.2900000,188.9000000,185.1000000,188.0000000,6161610
GAZP,60,20220715,150000,188.0000000,188.4500000,186.3000000,186.4500000,2738060
GAZP,60,20220715,160000,186.4500000,187.4800000,186.1000000,186.9500000,1425390
GAZP,60,20220715,170000,187.0000000,188.0000000,186.4100000,186.8300000,1500520
GAZP,60,20220715,180000,186.8200000,187.6900000,186.5000000,187.5000000,1098890
GAZP,60,20220715,190000,187.5000000,187.6100000,186.9700000,187.6100000,1274480
GAZP,60,20220718,110000,188.9100000,189.5000000,187.4500000,188.0000000,4737460
GAZP,60,20220718,120000,187.9600000,188.2300000,187.1000000,187.7600000,1688820
GAZP,60,20220718,130000,187.7500000,187.7700000,185.6200000,186.6000000,3865470
GAZP,60,20220718,140000,186.6000000,186.9800000,185.5200000,186.8000000,1415070
GAZP,60,20220718,150000,186.8000000,187.6000000,186.4000000,187.1000000,1212510
GAZP,60,20220718,160000,187.1200000,188.0000000,186.7500000,187.1000000,1552380
GAZP,60,20220718,170000,187.1700000,187.4900000,186.8100000,187.2400000,864800
GAZP,60,20220718,180000,187.2400000,187.2500000,186.5000000,187.0000000,750820
GAZP,60,20220718,190000,187.0000000,187.2500000,186.7000000,186.7000000,833610
GAZP,60,20220719,110000,186.1000000,186.9000000,185.5500000,186.2800000,2321400
GAZP,60,20220719,120000,186.2800000,186.3000000,184.8000000,185.0700000,3727540
GAZP,60,20220719,130000,185.0700000,185.9300000,184.7800000,185.5400000,2141270
GAZP,60,20220719,140000,185.5600000,185.6500000,185.1000000,185.1300000,1077880
GAZP,60,20220719,150000,185.1200000,185.4000000,184.6000000,185.3500000,1311260
GAZP,60,20220719,160000,185.3400000,185.8600000,184.8000000,185.0400000,1484040
GAZP,60,20220719,170000,185.0300000,185.3000000,184.8000000,185.0600000,1182010
GAZP,60,20220719,180000,185.0600000,187.3300000,185.0000000,186.9800000,2817510
GAZP,60,20220719,190000,187.0000000,189.6000000,186.9900000,189.5100000,6507400
GAZP,60,20220720,110000,190.0100000,195.8000000,190.0000000,193.9000000,18210310
GAZP,60,20220720,120000,193.9500000,194.9900000,192.3300000,194.2200000,5852400
GAZP,60,20220720,130000,194.2200000,194.6500000,192.5000000,193.9100000,3629400
GAZP,60,20220720,140000,193.9400000,194.4100000,193.3000000,193.9200000,2545850
GAZP,60,20220720,150000,193.9200000,195.4800000,193.8800000,194.3500000,4368940
GAZP,60,20220720,160000,194.3200000,194.3900000,193.0600000,193.7500000,2795890
GAZP,60,20220720,170000,193.7500000,194.5900000,193.5000000,194.2300000,1602170
GAZP,60,20220720,180000,194.2000000,194.2900000,192.7300000,192.9600000,2129890
GAZP,60,20220720,190000,192.9600000,193.4200000,192.1700000,193.3000000,2860800
GAZP,60,20220721,110000,194.6500000,195.4500000,188.5100000,189.3400000,10934790
GAZP,60,20220721,120000,189.3400000,190.6800000,188.0000000,190.3600000,5387020
GAZP,60,20220721,130000,190.3500000,192.4600000,189.5000000,192.4500000,2491030
